depth	min	max	median	mean
1	-11	330	112	125
10	122	3133	1055	1205
18	701	4463	2122	2229
22	976	5195	2632	2739
26	1210	6016	3127	3246
30	1414	7166	3592	3754
34	1773	7659	4095	4229
38	2002	8287	4568	4704
40	2083	8825	4782	4941
43	2433	9213	5144	5300
48	2747	10112	5736	5897
50	2863	10563	5964	6136
54	3245	11078	6445	6615
56	3378	11345	6679	6855
58	3526	11619	6925	7095
60	3648	12017	7161	7334
64	4087	12589	7645	7823
74	4984	14105	8845	9026
82	5666	15299	9811	9972
90	6328	16601	10749	10934
100	7126	17840	11923	12102
110	8111	19204	13173	13317
120	9099	20572	14295	14453
130	9861	21942	15470	15643
140	10625	23294	16567	16749
150	11493	24515	17639	17756
160	12491	25591	18687	18782
170	13316	26749	19685	19775
190	15087	29329	21705	21790
210	16754	31782	23700	23848
220	17668	32989	24698	24863
230	18460	34078	25658	25859
250	20258	36428	27740	27900
270	22061	39174	29894	29988
280	22829	40187	30885	30999
