dataset,depth,age
NAPD,1,--/111/--
NAPD,10,--/1111/--
NAPD,18,--/2000/--
NAPD,22,--/13500/--
NAPD,26,--/13677/--
NAPD,30,--/13854/--
NAPD,34,--/14031/--
NAPD,38,--/14208/--
NAPD,40,--/14296/--
NAPD,43,--/14429/--
NAPD,48,--/14650/--
NAPD,50,--/14739/--
NAPD,54,--/14916/--
NAPD,56,--/15004/--
NAPD,58,--/15093/--
NAPD,60,--/15181/--
NAPD,64,--/15358/--
NAPD,74,--/15801/--
NAPD,82,--/16155/--
NAPD,90,--/16509/--
NAPD,100,--/16951/--
NAPD,110,--/17394/--
NAPD,120,--/17836/--
NAPD,130,--/18279/--
NAPD,140,--/18721/--
NAPD,150,--/19164/--
NAPD,160,--/19606/--
NAPD,170,--/20049/--
NAPD,190,--/20934/--
NAPD,210,--/21819/--
NAPD,220,--/22261/--
NAPD,230,--/22704/--
NAPD,250,--/23588/--
NAPD,270,--/24473/--
NAPD,280,--/24916/--
