"dataset.id","site.id","sample.id"
8,8,54
206,206,1513
208,207,1581
210,209,1753
228,226,2454
234,231,2652
239,236,3006
244,241,3175
246,243,3233
3060,244,58214
250,246,3380
25551,246,264380
253,248,4549
267,261,4868
269,263,4978
279,273,5398
302,296,5899
318,311,6648
336,329,7495
343,336,7846
347,339,8109
381,370,9632
493,481,10289
498,486,10563
506,494,10866
507,495,10949
511,499,11106
514,501,11359
517,504,11533
525,512,11956
527,513,12040
533,519,12395
534,520,12435
543,528,12754
550,534,13061
678,660,13668
693,673,14394
701,681,14528
719,699,14665
778,759,15174
790,771,15625
796,776,15872
811,790,16518
816,794,16764
829,805,17092
834,810,17250
835,811,17317
3149,814,59244
841,816,17411
843,817,17459
844,818,17509
853,827,17859
859,832,18274
966,937,19354
975,945,20063
991,960,20596
1001,970,21011
1003,972,21231
1006,975,21608
1013,982,21843
1024,992,21919
1025,993,21989
1030,997,22146
1104,1071,22468
1107,1074,22727
1152,1118,23815
1162,1127,24346
1170,1135,24432
1390,1355,24841
1392,1357,25031
1432,1396,25202
1445,1408,25859
1452,1415,26142
1523,1485,26707
1541,1503,26897
1583,1543,28251
1586,1546,28313
1617,1571,29510
1632,1585,30147
1635,1587,30314
1656,1605,31306
1657,1606,31387
1659,1608,31468
1660,1609,31509
1666,1614,31819
1670,1618,31973
1693,1638,33074
1704,1648,33672
1705,1649,33760
1707,1651,33892
1717,1661,34304
1724,1668,34492
1733,1677,34607
1755,1699,35040
1761,1705,35227
1762,1706,35300
1766,1710,35438
1780,1723,36323
1783,1726,36531
1788,1731,36716
1800,1742,37069
1823,1765,37790
1835,1776,38323
1852,1792,38758
1854,1793,38798
1856,1794,38863
1861,1799,39107
1866,1804,39430
1882,1818,39641
1888,1824,39903
1902,1838,40269
1970,1905,41283
1987,1920,42159
2004,1937,42347
2022,1953,42802
2025,1955,42914
2026,1956,43056
2045,1973,43296
2047,1974,43385
2049,1976,43488
2050,1977,43549
2054,1980,43854
2065,1990,44058
2311,2232,45637
2320,2241,46136
2324,2245,46176
2338,2258,46780
3611,2260,62088
3612,2260,62178
2348,2268,47091
2351,2270,47144
2352,2271,47233
2376,2294,48045
2381,2299,48347
2476,2392,49095
2576,2492,49283
2577,2493,49342
2580,2496,49466
2588,2504,49712
2590,2506,49796
2599,2513,50417
2611,2522,50803
2615,2526,51026
2619,2529,51508
2620,2530,51585
2622,2532,51642
2625,2535,51802
2631,2541,52112
2634,2544,52235
2636,2546,52313
2637,2547,52331
2642,2551,52563
2644,2553,52718
2647,2556,52904
2652,2561,53152
2661,2569,53470
2879,2784,54326
2880,2785,54379
2882,2787,54515
2925,2828,55726
2950,2853,56106
2954,2857,56255
2955,2858,56316
2962,2865,56611
3033,2935,57062
3038,2940,57274
3039,2941,57311
3048,2949,57729
3054,2955,57918
3056,2957,58051
14426,9753,129981
14427,9754,129989
14428,9755,130001
14429,9756,130008
14430,9757,130018
14431,9758,130029
14432,9759,130038
14433,9760,130044
14434,9761,130052
14491,9795,130201
14494,9796,130246
14547,9814,131057
14549,9830,131073
14794,9943,132998
14799,9945,133133
14803,9947,133174
14884,9974,133737
14911,9985,133906
14923,9989,134029
15140,10075,137510
15157,10083,137837
15680,10325,146613
21844,10507,210837
18159,11950,167680
20194,13455,183519
20495,13575,189232
20609,13625,189955
20883,13695,192634
20922,13714,193857
46803,13879,430712
21415,13920,197714
21418,13922,197758
21422,13923,197853
21770,14031,201111
21774,14033,201263
21788,14039,201367
26246,14039,267323
21822,14055,209915
22119,14163,214610
22397,14308,218121
22400,14310,218141
22969,14640,231870
24354,15828,242983
24425,15871,244941
26313,16613,267445
40976,23680,325131
41030,23715,327287
41140,23763,328552
41146,23765,328587
41161,23771,328839
41171,23775,329956
41183,23778,330095
41359,23858,336697
41360,23858,336705
41364,23861,336838
41370,23864,337439
41372,23865,337446
41405,23879,338525
41407,23879,338542
41443,23893,339894
41463,23893,341544
41472,23905,342360
41487,23913,343109
41580,23930,347870
41585,23932,348260
41606,23940,349705
41612,23942,350249
41614,23943,350365
41762,24040,357664
41864,24070,359134
42547,24183,362241
42559,24187,362595
42645,24232,363414
42655,24236,364668
42745,24278,368788
46290,26557,412080
46292,26558,412236
46611,26634,421951
46630,26638,422432
46659,26644,423831
46672,26651,426061
46680,26658,427644
46730,26678,430482
46801,26738,430697
47506,26989,433057
47610,27028,438420
47621,27029,442323
47754,27142,443099
47758,27142,443112
48361,27192,449244
48363,27193,449313
48549,27205,449946
48616,27212,450186
