site.id,dataset.id,sample.id,age
246,25551,264380,-0.01630094
246,25551,264381,14
246,25551,264382,45
246,25551,264383,76
246,25551,264384,106
246,25551,264385,136
246,25551,264386,165
246,25551,264387,196
246,25551,264388,227
246,25551,264389,261
246,25551,264390,294
246,25551,264391,327
246,25551,264392,361
246,25551,264393,394
246,25551,264394,425
246,25551,264395,456
246,25551,264396,485
246,25551,264397,508
246,25551,264398,531
246,25551,264399,558
246,25551,264400,585
246,25551,264401,613
246,25551,264402,641
246,25551,264403,668
246,25551,264404,694
246,25551,264405,714
246,25551,264406,733
246,25551,264407,752
246,25551,264408,772
246,25551,264409,793
246,25551,264410,816
246,25551,264411,838
246,25551,264412,861
246,25551,264413,885
246,25551,264414,912
246,25551,264415,943
246,25551,264416,973
246,25551,264417,1004
246,25551,264418,1035
246,25551,264419,1072
246,25551,264420,1115
246,25551,264421,1158
246,25551,264422,1201
246,25551,264423,1246
246,25551,264424,1288
246,25551,264425,1325
246,25551,264426,1362
246,25551,264427,1400
246,25551,264428,1438
246,25551,264429,1473
246,25551,264430,1505
246,25551,264431,1536
246,25551,264432,1568
246,25551,264433,1600
246,25551,264434,1628
246,25551,264435,1652
246,25551,264436,1675
246,25551,264437,1699
246,25551,264438,1723
246,25551,264439,1747
246,25551,264440,1772
246,25551,264441,1797
246,25551,264442,1823
246,25551,264443,1848
246,25551,264444,1873
246,25551,264445,1897
246,25551,264446,1921
246,25551,264447,1944
246,25551,264448,1968
246,25551,264449,1996
246,25551,264450,2032
246,25551,264451,2067
