site.id,dataset.id,sample.id,age
486,498,10563,7
486,498,10564,195
486,498,10565,413
486,498,10566,630
486,498,10567,850
486,498,10568,1072
486,498,10569,1287
486,498,10570,1502
486,498,10571,1723
486,498,10572,1939
486,498,10573,2157
486,498,10574,2367
486,498,10575,2582
486,498,10576,2798
486,498,10577,3009
486,498,10578,3228
486,498,10579,3447
486,498,10580,3669
486,498,10581,3890
486,498,10582,4111
486,498,10583,4326
486,498,10584,4543
486,498,10585,4763
486,498,10586,4985
486,498,10587,5207
486,498,10588,5423
486,498,10589,5643
486,498,10590,5856
486,498,10591,6074
486,498,10592,6286
486,498,10593,6501
486,498,10594,6719
486,498,10595,6937
486,498,10596,7156
486,498,10597,7376
