Year,Average prod (kg/ha),Average prod (Gaussian centered),Average prod (linear lagged)
600,170.78552991993257,NA,NA
601,242.09065528866415,NA,NA
602,168.5261009270965,NA,NA
603,145.2903585475488,NA,NA
604,167.12426253687315,NA,NA
605,203.07628353701364,NA,NA
606,177.28304537154094,NA,NA
607,239.22129161399073,NA,NA
608,193.2252862059278,NA,NA
609,175.646166947605,NA,NA
610,165.94294318022193,197.367148198698,NA
611,137.55316757971624,201.339472954468,NA
612,186.03325607529146,205.593888116705,NA
613,242.88154059558926,211.060333296854,NA
614,252.71257374631267,217.094961864258,NA
615,219.53906798707683,222.796721013433,NA
616,224.56106019103808,228.03601002389,NA
617,220.08990026689142,233.616665358851,NA
618,227.16657009411435,238.79159937295,NA
619,265.8863955611743,244.104235572395,NA
620,223.67164454277287,248.939290120451,191.811594133497
621,274.3227103525776,252.09209180087,195.124789600295
622,300.26917404129796,254.267500523938,192.207556002199
623,289.7513256777637,254.754510050201,196.502793686975
624,287.61279674111535,254.270707596876,203.526486039128
625,247.4914050428431,252.904697971475,208.913187736434
626,224.7807364096081,251.409371791267,211.125482558716
627,250.2329505548532,249.488068927079,215.998417669562
628,282.7669353139486,247.075958860684,215.42911240209
629,278.15970466357635,243.678343645868,219.408943636899
630,264.5796196797303,240.673492740435,225.371869924335
631,165.78732090181205,238.479458482754,232.216233773835
632,169.00815599100997,236.225217137965,241.777655095291
633,176.40663190054784,233.670677733309,246.890121946696
634,243.73428501193987,231.441114498264,246.838254466889
635,247.21766575361707,229.390872242492,245.868869220165
636,279.0399898159854,227.727289331265,248.172836972458
637,288.55461616800113,225.410747949099,250.297288359788
638,252.92476998173902,223.006741853381,252.97035112427
639,166.74673409186684,220.065090889521,254.738522536484
640,235.82299129091163,216.987623393843,252.856565208098
641,237.2584808259587,213.354853778231,254.871129990836
642,222.24175621576063,210.468606674796,252.055593751311
643,158.38096993959826,207.317287906884,246.267053435748
644,157.48616378704875,204.730107737854,240.862104694832
645,175.27424848995645,201.57090819814,235.165253613737
646,203.0156886500913,199.783370467003,232.923266209139
647,165.48957894367186,197.754624494117,232.489213366584
648,239.3130443180222,196.190879590629,229.69405055309
649,239.00734829329963,195.276290619935,223.751817319848
650,228.89142611321816,194.810876726926,218.015140645514
651,162.93419019525214,193.83693422958,213.072993647267
652,169.1855422109847,193.333922552801,217.126675634498
653,158.73974575080769,193.2404121031,220.84310243942
654,210.43634990869504,193.688968815763,224.034255321866
655,165.6059927658379,194.341071365194,220.766494751561
656,250.34541368169687,195.664725649722,217.195603239061
657,180.63698377581122,197.288181631675,210.305786136301
658,186.81415929203538,199.757413217951,202.110568123289
659,188.9075537294564,201.496612956217,196.877296230014
660,159.63861672987778,203.429480620633,199.447620164987
661,186.72714742239077,205.422539313508,195.52574823395
662,227.3665894086248,208.871383717979,191.430555213504
663,233.95611216462987,211.238873788175,188.751230473418
664,215.6359126984127,213.306659057534,192.125288653497
665,224.40337477173762,214.612265234941,195.870377743481
666,273.6436648405675,215.774183982593,198.424209853334
667,261.46742871189775,215.776037922602,198.709130693486
668,245.15572763028516,216.062098354506,202.750391154942
669,176.40031956735496,215.745920265628,199.808078033663
670,156.9192214496418,215.619116414471,196.538195603619
671,149.60779252704032,215.109186876165,193.84472326966
672,263.10047935103245,215.258824290373,197.580983591255
673,188.97180081472118,215.394180923073,200.834593983298
674,212.48734899564545,215.48195204792,205.270495842478
675,239.3265995926394,216.616561115511,205.131772430524
676,235.49971028234302,216.855527126233,209.371106237257
677,234.69678852366906,216.4295313008,205.839113358314
678,226.64297127405536,216.38847991873,208.843410589855
679,197.81151671583086,216.20413486126,211.333754018726
680,229.6847257339514,215.971197426011,213.810313416508
681,162.2645736760781,215.074694418738,218.959053047786
682,252.259297302992,213.499269994974,221.928887940266
