time,temp
0,0
100,-0.12
200,-0.11
300,-0.19
400,-0.2
500,-0.27
600,-0.2
700,-0.15
800,-0.06
900,0.01
1000,-0.1
1100,-0.13
1200,-0.22
1300,-0.1
1400,-0.13
1500,-0.13
1600,-0.06
1700,-0.16
1800,-0.14
1900,-0.24
2000,-0.12
2100,-0.07
2200,-0.1
2300,0.01
2400,-0.05
2500,-0.13
2600,-0.1
2700,-0.07
2800,-0.11
2900,-0.09
3000,-0.16
3100,-0.07
3200,0.06
3300,0.12
3400,0.05
3500,0.01
3600,-0.03
3700,-0.02
3800,0.02
3900,-0.02
4000,-0.03
4100,-0.04
4200,-0.03
4300,-0.03
4400,0.03
4500,0.03
4600,-0.02
4700,-0.04
4800,-0.06
4900,-0.04
5000,-0.1
5100,-0.07
5200,-0.05
5300,-0.05
5400,-0.08
5500,-0.02
5600,-0.07
5700,-0.14
5800,0.01
5900,-0.09
6000,-0.23
6100,-0.19
6200,-0.27
6300,-0.26
6400,-0.27
6500,-0.32
6600,-0.26
6700,-0.24
6800,-0.2
6900,-0.23
7000,-0.35
7100,-0.21
7200,-0.11
7300,-0.28
7400,-0.28
7500,-0.23
7600,-0.26
7700,-0.15
7800,-0.22
7900,-0.1
8000,-0.16
8100,-0.28
8200,-0.35
8300,-0.34
8400,-0.46
8500,-0.48
8600,-0.45
8700,-0.5
8800,-0.5
8900,-0.34
9000,-0.39
9100,-0.38
9200,-0.47
9300,-0.63
9400,-0.65
9500,-0.64
9600,-0.76
9700,-0.71
9800,-0.86
9900,-0.83
10000,-0.88
10100,-0.89
10200,-0.99
10300,-0.79
10400,-1.1
10500,-1.26
10600,-1.23
10700,-1.2
10800,-1.23
10900,-1.55
11000,-1.44
11100,-1.34
11200,-1.48
11300,-1.62
11400,-1.83
11500,-1.94
11600,-2.09
11700,-2.45
11800,-2.55
11900,-2.37
12000,-2.55
12100,-2.64
12200,-2.76
12300,-2.67
12400,-2.74
12500,-2.98
12600,-3.41
12700,-3.61
12800,-3.84
12900,-3.85
13000,-3.91
13100,-4.08
13200,-4.18
13300,-4.37
13400,-4.11
13500,-4.5
13600,-4.6
13700,-4.74
13800,-4.31
13900,-4.38
14000,-4.42
