"Site Name","Site ID","Dataset ID","Earliest date of core (BP)","Latest date of core (BP)","Minimum Depth","Maximum Depth","Longitude","Latitude","Elevation (m)"
"Alpine Pond",9814,14517,369,2999,40,290,-112.82446,37.63632,3200
"Alpine Pond",9814,14547,58,580,10,60,-112.82446,37.63632,3200
"Bear Lake",10000,14951,132,13455,202,999,-112.147175,36.371125,2778
"Bechan Cave",244,247,16035,22010,43,67,-110.866666666667,37.3666666666667,1280
"Bechan Cave",244,3060,1165,14630,7.5,112.5,-110.866666666667,37.3666666666667,1280
"Beef Pasture",246,250,-3,6014,0.5,392,-108.160375,37.473105,3060
"Beef Pasture",246,25551,14,2067,4.5,144.5,-108.160375,37.473105,3060
"Black Mountain Lake",10531,16222,8972,14945,220,315,-107.23536,37.84682,3413
"Cascade Fen [Engineer Mountain Bog]",339,347,14,6033,2,300,-107.808675,37.647645,2690
"Chihuahueños Bog",13680,20833,-48,14898,1,444,-106.510525,36.047665,2925
"Columbine Ranch Fen",486,498,195,7376,5,170,-107.81571,37.60664,2694
"Como Lake",2957,3056,774,14606,10,300,-105.514165,37.569525,3523
"Crane Lake",504,517,1121,14024,20,430,-112.148895,36.52986,2590
"Cumbres Bog",11617,17419,303,19301,14.5,693.5,-106.45052,37.021745,3100
"Dead Man Lake",655,671,16638,35598,29,812,-108.951667,36.2375,2759
"Dead Man Lake",655,3076,32280,40997,675,1035,-108.951667,36.2375,2759
"Fracas Lake",9997,14944,50,13543,105,600,-112.238595,36.6307,2512
"Hay Lake",982,1013,958,44692,9,420,-109.425,34,2780
"Head Lake",2955,3054,1,14050,3,240,-105.740635,37.71109,2300
"Hermit Lake",23930,41580,-46,13358,5.5,870,-105.63166,38.08806,3450
"Hospital Flat Meadow",26738,46801,31,1173,5,50,-109.87742,32.66757,2747
"Hunters Lake",13486,20304,-46,13940,0.5,390,-106.843695,37.611035,3516
"Jacob Lake",1127,1162,233,19938,9,295.5,-110.833333,34.333333,2285
"Lake Emma",10061,15106,-29,12106,0,206,-107.61537,37.902105,3740
"Leonora Curtin",14632,22948,20,518,5,29,-106.106515,35.56948,1850
"Long Lake",1609,1660,1111,24916,10,280,-108.833333,36.005556,2727
"Lowder Creek Bog",9830,14549,336,14784,20,720,-112.792245,37.67214,3127
"Mayberry Well",1661,1717,4981,36242,47,342,-108.3,33.7,2080
"Molas Lake",1705,1761,174,18996,2,220,-107.682735,37.74759,3200
"Molas Pass Bog",1706,1762,370,9718,5,140,-107.6975,37.737778,3220
"Montezuma Well",1710,1766,-2,12838,5,1015,-111.75225,34.6492,1081
"Posy Lake",1905,1970,935,8221,30,592,-111.696035,37.93746,2653
"Potato Lake",1906,3560,1315,10936,20.5,105.5,-111.345278,34.462222,2205
"Potato Lake",1906,3561,1389,35271,25,925,-111.345278,34.462222,2205
"Purple Lake",13683,20838,-55,8722,1,256,-111.57115,38.07438,3226
"Sagehen Marsh",2241,2320,6,248,5,60,-108.503889,37.473889,2085
"Sagehen Marsh",2241,3608,1350,1350,143.5,160,-108.503889,37.473889,2085
"Sagehen Marsh",2241,3609,5561,5749,155.5,227.5,-108.503889,37.473889,2085
"San Agustin Plains",2260,2340,8837,18164,155,361,-108.25,33.866667,2069
"San Agustin Plains",2260,3611,7659,26899,87,715,-108.25,33.866667,2069
"San Agustin Plains",2260,3612,189,12654,2,134,-108.25,33.866667,2069
"San Luis Lake",9878,14650,-37,1427,0,154,-105.724665,37.67773,2293
"Soldier Creek Meadow",24232,42645,41,1320,5,90,-109.92042,32.70177,2860
"Stewart Bog",10191,15356,-31,13547,1,409,-105.722,35.832,3115
"Stoneman Lake",10449,15967,-42,9792,0,200,-111.517775,34.778865,2047
"Twin Lakes",2785,2880,102,11411,2.5,395,-108.10256,37.46906,3290
"Utricularia Lake",2800,2897,769,22005,15,132,-108.808333,35.968889,2753
"Whiskey Lake",2853,2950,333,23199,5,160,-108.810833,35.981944,2712
