"sample.id","value","dataset.id","site.id","site.name","depth","elev","type","pub_year","age","geometry"
3381,15.3,250,246,"Beef Pasture",0.5,3060,"fossil",1985,0,c(-108.160375, 37.473105)
3382,15.3,250,246,"Beef Pasture",2.5,3060,"fossil",1985,-3,c(-108.160375, 37.473105)
3383,14.75,250,246,"Beef Pasture",4,3060,"fossil",1985,9,c(-108.160375, 37.473105)
3384,15.3,250,246,"Beef Pasture",6,3060,"fossil",1985,24,c(-108.160375, 37.473105)
3385,14.1,250,246,"Beef Pasture",8.5,3060,"fossil",1985,43,c(-108.160375, 37.473105)
3386,15.3,250,246,"Beef Pasture",10.5,3060,"fossil",1985,61,c(-108.160375, 37.473105)
3387,15.3,250,246,"Beef Pasture",12.5,3060,"fossil",1985,89,c(-108.160375, 37.473105)
3388,15.3,250,246,"Beef Pasture",14.5,3060,"fossil",1985,116,c(-108.160375, 37.473105)
3389,15.3,250,246,"Beef Pasture",16.5,3060,"fossil",1985,145,c(-108.160375, 37.473105)
3390,15.3,250,246,"Beef Pasture",18,3060,"fossil",1985,166,c(-108.160375, 37.473105)
3391,15.3,250,246,"Beef Pasture",20,3060,"fossil",1985,194,c(-108.160375, 37.473105)
3392,12.8,250,246,"Beef Pasture",22,3060,"fossil",1985,224,c(-108.160375, 37.473105)
3393,14.75,250,246,"Beef Pasture",24,3060,"fossil",1985,254,c(-108.160375, 37.473105)
3394,14.75,250,246,"Beef Pasture",26,3060,"fossil",1985,284,c(-108.160375, 37.473105)
3395,14.75,250,246,"Beef Pasture",28,3060,"fossil",1985,314,c(-108.160375, 37.473105)
3396,15.3,250,246,"Beef Pasture",30,3060,"fossil",1985,343,c(-108.160375, 37.473105)
3397,14.75,250,246,"Beef Pasture",32,3060,"fossil",1985,373,c(-108.160375, 37.473105)
3398,14.75,250,246,"Beef Pasture",34,3060,"fossil",1985,404,c(-108.160375, 37.473105)
3399,12.8,250,246,"Beef Pasture",36,3060,"fossil",1985,433,c(-108.160375, 37.473105)
3400,15.3,250,246,"Beef Pasture",38,3060,"fossil",1985,462,c(-108.160375, 37.473105)
3401,15.3,250,246,"Beef Pasture",40,3060,"fossil",1985,491,c(-108.160375, 37.473105)
3402,15.3,250,246,"Beef Pasture",42,3060,"fossil",1985,521,c(-108.160375, 37.473105)
3403,15.3,250,246,"Beef Pasture",44,3060,"fossil",1985,550,c(-108.160375, 37.473105)
3404,15.3,250,246,"Beef Pasture",46,3060,"fossil",1985,580,c(-108.160375, 37.473105)
3405,15.3,250,246,"Beef Pasture",48,3060,"fossil",1985,609,c(-108.160375, 37.473105)
3406,15.3,250,246,"Beef Pasture",50,3060,"fossil",1985,638,c(-108.160375, 37.473105)
3407,15.05,250,246,"Beef Pasture",52,3060,"fossil",1985,666,c(-108.160375, 37.473105)
3408,15.3,250,246,"Beef Pasture",54,3060,"fossil",1985,695,c(-108.160375, 37.473105)
3409,15.3,250,246,"Beef Pasture",56,3060,"fossil",1985,721,c(-108.160375, 37.473105)
3410,15.3,250,246,"Beef Pasture",58,3060,"fossil",1985,744,c(-108.160375, 37.473105)
3411,15.3,250,246,"Beef Pasture",60,3060,"fossil",1985,767,c(-108.160375, 37.473105)
3412,11.9,250,246,"Beef Pasture",62.5,3060,"fossil",1985,796,c(-108.160375, 37.473105)
3413,11.9,250,246,"Beef Pasture",65,3060,"fossil",1985,826,c(-108.160375, 37.473105)
3414,14.75,250,246,"Beef Pasture",67.5,3060,"fossil",1985,855,c(-108.160375, 37.473105)
3415,14.75,250,246,"Beef Pasture",70,3060,"fossil",1985,885,c(-108.160375, 37.473105)
3416,16.95,250,246,"Beef Pasture",75,3060,"fossil",1985,947,c(-108.160375, 37.473105)
3417,14.75,250,246,"Beef Pasture",77.5,3060,"fossil",1985,977,c(-108.160375, 37.473105)
3418,14.75,250,246,"Beef Pasture",80,3060,"fossil",1985,1006,c(-108.160375, 37.473105)
3419,14.75,250,246,"Beef Pasture",82.5,3060,"fossil",1985,1036,c(-108.160375, 37.473105)
3420,11.85,250,246,"Beef Pasture",85,3060,"fossil",1985,1066,c(-108.160375, 37.473105)
3421,14.75,250,246,"Beef Pasture",87.5,3060,"fossil",1985,1096,c(-108.160375, 37.473105)
3422,14.75,250,246,"Beef Pasture",90,3060,"fossil",1985,1125,c(-108.160375, 37.473105)
3423,14.75,250,246,"Beef Pasture",92.5,3060,"fossil",1985,1154,c(-108.160375, 37.473105)
3424,11.9,250,246,"Beef Pasture",95,3060,"fossil",1985,1183,c(-108.160375, 37.473105)
3425,14.75,250,246,"Beef Pasture",97.5,3060,"fossil",1985,1211,c(-108.160375, 37.473105)
3426,14.75,250,246,"Beef Pasture",100,3060,"fossil",1985,1240,c(-108.160375, 37.473105)
3427,11.9,250,246,"Beef Pasture",102.5,3060,"fossil",1985,1270,c(-108.160375, 37.473105)
3428,11.9,250,246,"Beef Pasture",105,3060,"fossil",1985,1299,c(-108.160375, 37.473105)
3429,11.9,250,246,"Beef Pasture",107.5,3060,"fossil",1985,1329,c(-108.160375, 37.473105)
3430,11.9,250,246,"Beef Pasture",110,3060,"fossil",1985,1358,c(-108.160375, 37.473105)
3431,15.3,250,246,"Beef Pasture",112.5,3060,"fossil",1985,1387,c(-108.160375, 37.473105)
3432,14.75,250,246,"Beef Pasture",115,3060,"fossil",1985,1416,c(-108.160375, 37.473105)
3433,14.75,250,246,"Beef Pasture",117.5,3060,"fossil",1985,1445,c(-108.160375, 37.473105)
3434,15.3,250,246,"Beef Pasture",120,3060,"fossil",1985,1474,c(-108.160375, 37.473105)
3435,11.9,250,246,"Beef Pasture",125,3060,"fossil",1985,1537,c(-108.160375, 37.473105)
3436,11.9,250,246,"Beef Pasture",130,3060,"fossil",1985,1611,c(-108.160375, 37.473105)
3437,15.3,250,246,"Beef Pasture",135,3060,"fossil",1985,1687,c(-108.160375, 37.473105)
3438,15.3,250,246,"Beef Pasture",140,3060,"fossil",1985,1761,c(-108.160375, 37.473105)
3439,15.3,250,246,"Beef Pasture",145,3060,"fossil",1985,1837,c(-108.160375, 37.473105)
3440,11.9,250,246,"Beef Pasture",150,3060,"fossil",1985,1911,c(-108.160375, 37.473105)
3441,11.9,250,246,"Beef Pasture",155,3060,"fossil",1985,1986,c(-108.160375, 37.473105)
3442,15.3,250,246,"Beef Pasture",160,3060,"fossil",1985,2062,c(-108.160375, 37.473105)
3443,15.3,250,246,"Beef Pasture",165,3060,"fossil",1985,2139,c(-108.160375, 37.473105)
3444,15.3,250,246,"Beef Pasture",175,3060,"fossil",1985,2289,c(-108.160375, 37.473105)
3445,15.3,250,246,"Beef Pasture",185,3060,"fossil",1985,2441,c(-108.160375, 37.473105)
3446,15.3,250,246,"Beef Pasture",195,3060,"fossil",1985,2592,c(-108.160375, 37.473105)
3447,15.3,250,246,"Beef Pasture",205,3060,"fossil",1985,2743,c(-108.160375, 37.473105)
3448,15.3,250,246,"Beef Pasture",215,3060,"fossil",1985,2865,c(-108.160375, 37.473105)
3449,11.9,250,246,"Beef Pasture",225,3060,"fossil",1985,2988,c(-108.160375, 37.473105)
3450,15.3,250,246,"Beef Pasture",230,3060,"fossil",1985,3050,c(-108.160375, 37.473105)
3451,21.6,250,246,"Beef Pasture",235,3060,"fossil",1985,3112,c(-108.160375, 37.473105)
3452,11.9,250,246,"Beef Pasture",245,3060,"fossil",1985,3271,c(-108.160375, 37.473105)
3453,10.65,250,246,"Beef Pasture",260,3060,"fossil",1985,3578,c(-108.160375, 37.473105)
3454,13,250,246,"Beef Pasture",267,3060,"fossil",1985,3722,c(-108.160375, 37.473105)
3455,10.8,250,246,"Beef Pasture",275,3060,"fossil",1985,3886,c(-108.160375, 37.473105)
3456,15.8,250,246,"Beef Pasture",285,3060,"fossil",1985,4093,c(-108.160375, 37.473105)
3457,11.85,250,246,"Beef Pasture",295,3060,"fossil",1985,4299,c(-108.160375, 37.473105)
3458,13,250,246,"Beef Pasture",305,3060,"fossil",1985,4498,c(-108.160375, 37.473105)
3459,15.3,250,246,"Beef Pasture",315,3060,"fossil",1985,4645,c(-108.160375, 37.473105)
3460,11.9,250,246,"Beef Pasture",325,3060,"fossil",1985,4791,c(-108.160375, 37.473105)
3461,15.9,250,246,"Beef Pasture",335,3060,"fossil",1985,4935,c(-108.160375, 37.473105)
3462,15.9,250,246,"Beef Pasture",338,3060,"fossil",1985,4981,c(-108.160375, 37.473105)
3463,11.9,250,246,"Beef Pasture",345,3060,"fossil",1985,5137,c(-108.160375, 37.473105)
3464,11.9,250,246,"Beef Pasture",348,3060,"fossil",1985,5212,c(-108.160375, 37.473105)
3465,11.9,250,246,"Beef Pasture",358,3060,"fossil",1985,5415,c(-108.160375, 37.473105)
3467,10.1,250,246,"Beef Pasture",378,3060,"fossil",1985,5786,c(-108.160375, 37.473105)
3468,11.9,250,246,"Beef Pasture",382,3060,"fossil",1985,5851,c(-108.160375, 37.473105)
3470,19.3,250,246,"Beef Pasture",392,3060,"fossil",1985,6014,c(-108.160375, 37.473105)
8110,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",2,2690,"fossil",1961,14,c(-107.808675, 37.647645)
8111,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",7,2690,"fossil",1961,82,c(-107.808675, 37.647645)
8112,12.15,347,339,"Cascade Fen [Engineer Mountain Bog]",12,2690,"fossil",1961,151,c(-107.808675, 37.647645)
8113,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",17,2690,"fossil",1961,221,c(-107.808675, 37.647645)
8114,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",22,2690,"fossil",1961,291,c(-107.808675, 37.647645)
8115,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",27,2690,"fossil",1961,361,c(-107.808675, 37.647645)
8116,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",32,2690,"fossil",1961,431,c(-107.808675, 37.647645)
8117,9.1,347,339,"Cascade Fen [Engineer Mountain Bog]",37,2690,"fossil",1961,501,c(-107.808675, 37.647645)
8118,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",42,2690,"fossil",1961,571,c(-107.808675, 37.647645)
8119,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",47,2690,"fossil",1961,639,c(-107.808675, 37.647645)
8120,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",52,2690,"fossil",1961,709,c(-107.808675, 37.647645)
8121,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",57,2690,"fossil",1961,780,c(-107.808675, 37.647645)
8122,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",62,2690,"fossil",1961,848,c(-107.808675, 37.647645)
8123,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",67,2690,"fossil",1961,917,c(-107.808675, 37.647645)
8124,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",72,2690,"fossil",1961,987,c(-107.808675, 37.647645)
8125,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",77,2690,"fossil",1961,1057,c(-107.808675, 37.647645)
8126,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",82,2690,"fossil",1961,1127,c(-107.808675, 37.647645)
8127,9.25,347,339,"Cascade Fen [Engineer Mountain Bog]",87,2690,"fossil",1961,1197,c(-107.808675, 37.647645)
8128,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",92,2690,"fossil",1961,1266,c(-107.808675, 37.647645)
8129,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",97,2690,"fossil",1961,1336,c(-107.808675, 37.647645)
8130,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",101,2690,"fossil",1961,1391,c(-107.808675, 37.647645)
8131,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",105,2690,"fossil",1961,1447,c(-107.808675, 37.647645)
8132,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",110,2690,"fossil",1961,1515,c(-107.808675, 37.647645)
8133,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",116,2690,"fossil",1961,1599,c(-107.808675, 37.647645)
8134,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",121,2690,"fossil",1961,1669,c(-107.808675, 37.647645)
8135,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",126,2690,"fossil",1961,1739,c(-107.808675, 37.647645)
8136,14.65,347,339,"Cascade Fen [Engineer Mountain Bog]",129,2690,"fossil",1961,1780,c(-107.808675, 37.647645)
8137,14.65,347,339,"Cascade Fen [Engineer Mountain Bog]",132,2690,"fossil",1961,1821,c(-107.808675, 37.647645)
8138,11.85,347,339,"Cascade Fen [Engineer Mountain Bog]",134,2690,"fossil",1961,1849,c(-107.808675, 37.647645)
8139,10.8,347,339,"Cascade Fen [Engineer Mountain Bog]",137,2690,"fossil",1961,1891,c(-107.808675, 37.647645)
8140,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",139,2690,"fossil",1961,1920,c(-107.808675, 37.647645)
8141,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",142,2690,"fossil",1961,1961,c(-107.808675, 37.647645)
8142,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",147,2690,"fossil",1961,2030,c(-107.808675, 37.647645)
8143,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",153,2690,"fossil",1961,2112,c(-107.808675, 37.647645)
8144,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",158,2690,"fossil",1961,2182,c(-107.808675, 37.647645)
8145,10.8,347,339,"Cascade Fen [Engineer Mountain Bog]",161,2690,"fossil",1961,2224,c(-107.808675, 37.647645)
8146,11.85,347,339,"Cascade Fen [Engineer Mountain Bog]",163,2690,"fossil",1961,2252,c(-107.808675, 37.647645)
8147,11.85,347,339,"Cascade Fen [Engineer Mountain Bog]",166,2690,"fossil",1961,2293,c(-107.808675, 37.647645)
8148,15.3,347,339,"Cascade Fen [Engineer Mountain Bog]",168,2690,"fossil",1961,2321,c(-107.808675, 37.647645)
8149,12.65,347,339,"Cascade Fen [Engineer Mountain Bog]",190,2690,"fossil",1961,2625,c(-107.808675, 37.647645)
8150,7.9,347,339,"Cascade Fen [Engineer Mountain Bog]",195,2690,"fossil",1961,2692,c(-107.808675, 37.647645)
8151,11.5,347,339,"Cascade Fen [Engineer Mountain Bog]",200,2690,"fossil",1961,2693,c(-107.808675, 37.647645)
8152,12.65,347,339,"Cascade Fen [Engineer Mountain Bog]",202,2690,"fossil",1961,2765,c(-107.808675, 37.647645)
8153,11.9,347,339,"Cascade Fen [Engineer Mountain Bog]",207,2690,"fossil",1961,2942,c(-107.808675, 37.647645)
8154,11.9,347,339,"Cascade Fen [Engineer Mountain Bog]",212,2690,"fossil",1961,3123,c(-107.808675, 37.647645)
8155,11.9,347,339,"Cascade Fen [Engineer Mountain Bog]",216,2690,"fossil",1961,3266,c(-107.808675, 37.647645)
8156,10.65,347,339,"Cascade Fen [Engineer Mountain Bog]",221,2690,"fossil",1961,3446,c(-107.808675, 37.647645)
8157,12.65,347,339,"Cascade Fen [Engineer Mountain Bog]",226,2690,"fossil",1961,3626,c(-107.808675, 37.647645)
8158,12.65,347,339,"Cascade Fen [Engineer Mountain Bog]",230,2690,"fossil",1961,3768,c(-107.808675, 37.647645)
8159,12.65,347,339,"Cascade Fen [Engineer Mountain Bog]",235,2690,"fossil",1961,3949,c(-107.808675, 37.647645)
8160,10.65,347,339,"Cascade Fen [Engineer Mountain Bog]",240,2690,"fossil",1961,4126,c(-107.808675, 37.647645)
8161,12.65,347,339,"Cascade Fen [Engineer Mountain Bog]",247,2690,"fossil",1961,4380,c(-107.808675, 37.647645)
8162,11.5,347,339,"Cascade Fen [Engineer Mountain Bog]",249,2690,"fossil",1961,4452,c(-107.808675, 37.647645)
8163,11.5,347,339,"Cascade Fen [Engineer Mountain Bog]",258,2690,"fossil",1961,4760,c(-107.808675, 37.647645)
8164,15.8,347,339,"Cascade Fen [Engineer Mountain Bog]",267,2690,"fossil",1961,5033,c(-107.808675, 37.647645)
8165,10.65,347,339,"Cascade Fen [Engineer Mountain Bog]",270,2690,"fossil",1961,5126,c(-107.808675, 37.647645)
8166,12.65,347,339,"Cascade Fen [Engineer Mountain Bog]",272,2690,"fossil",1961,5185,c(-107.808675, 37.647645)
8167,10.65,347,339,"Cascade Fen [Engineer Mountain Bog]",277,2690,"fossil",1961,5335,c(-107.808675, 37.647645)
8168,11.9,347,339,"Cascade Fen [Engineer Mountain Bog]",281,2690,"fossil",1961,5457,c(-107.808675, 37.647645)
8169,12.65,347,339,"Cascade Fen [Engineer Mountain Bog]",286,2690,"fossil",1961,5607,c(-107.808675, 37.647645)
8170,14.45,347,339,"Cascade Fen [Engineer Mountain Bog]",291,2690,"fossil",1961,5759,c(-107.808675, 37.647645)
8171,11.5,347,339,"Cascade Fen [Engineer Mountain Bog]",293,2690,"fossil",1961,5821,c(-107.808675, 37.647645)
8172,12.65,347,339,"Cascade Fen [Engineer Mountain Bog]",295,2690,"fossil",1961,5880,c(-107.808675, 37.647645)
10564,15.05,498,486,"Columbine Ranch Fen",5,2694,"fossil",1961,195,c(-107.81571, 37.60664)
10565,12.65,498,486,"Columbine Ranch Fen",10,2694,"fossil",1961,413,c(-107.81571, 37.60664)
10566,11.9,498,486,"Columbine Ranch Fen",15,2694,"fossil",1961,630,c(-107.81571, 37.60664)
10567,14.75,498,486,"Columbine Ranch Fen",20,2694,"fossil",1961,850,c(-107.81571, 37.60664)
10568,14.75,498,486,"Columbine Ranch Fen",25,2694,"fossil",1961,1072,c(-107.81571, 37.60664)
10569,14.75,498,486,"Columbine Ranch Fen",30,2694,"fossil",1961,1287,c(-107.81571, 37.60664)
10570,12.65,498,486,"Columbine Ranch Fen",35,2694,"fossil",1961,1502,c(-107.81571, 37.60664)
10571,14.75,498,486,"Columbine Ranch Fen",40,2694,"fossil",1961,1723,c(-107.81571, 37.60664)
10572,12.65,498,486,"Columbine Ranch Fen",45,2694,"fossil",1961,1939,c(-107.81571, 37.60664)
10573,12.65,498,486,"Columbine Ranch Fen",50,2694,"fossil",1961,2157,c(-107.81571, 37.60664)
10574,14.75,498,486,"Columbine Ranch Fen",55,2694,"fossil",1961,2367,c(-107.81571, 37.60664)
10575,14.75,498,486,"Columbine Ranch Fen",60,2694,"fossil",1961,2582,c(-107.81571, 37.60664)
10576,12.65,498,486,"Columbine Ranch Fen",65,2694,"fossil",1961,2798,c(-107.81571, 37.60664)
10577,14.75,498,486,"Columbine Ranch Fen",70,2694,"fossil",1961,3009,c(-107.81571, 37.60664)
10578,14.75,498,486,"Columbine Ranch Fen",75,2694,"fossil",1961,3228,c(-107.81571, 37.60664)
10579,12.65,498,486,"Columbine Ranch Fen",80,2694,"fossil",1961,3447,c(-107.81571, 37.60664)
10580,12.65,498,486,"Columbine Ranch Fen",85,2694,"fossil",1961,3669,c(-107.81571, 37.60664)
10581,12.65,498,486,"Columbine Ranch Fen",90,2694,"fossil",1961,3890,c(-107.81571, 37.60664)
10582,11.9,498,486,"Columbine Ranch Fen",95,2694,"fossil",1961,4111,c(-107.81571, 37.60664)
10583,12.65,498,486,"Columbine Ranch Fen",100,2694,"fossil",1961,4326,c(-107.81571, 37.60664)
10584,12.65,498,486,"Columbine Ranch Fen",105,2694,"fossil",1961,4543,c(-107.81571, 37.60664)
10585,12.65,498,486,"Columbine Ranch Fen",110,2694,"fossil",1961,4763,c(-107.81571, 37.60664)
10586,12.65,498,486,"Columbine Ranch Fen",115,2694,"fossil",1961,4985,c(-107.81571, 37.60664)
10587,12.65,498,486,"Columbine Ranch Fen",120,2694,"fossil",1961,5207,c(-107.81571, 37.60664)
10588,15.2,498,486,"Columbine Ranch Fen",125,2694,"fossil",1961,5423,c(-107.81571, 37.60664)
10589,12.65,498,486,"Columbine Ranch Fen",130,2694,"fossil",1961,5643,c(-107.81571, 37.60664)
10590,12.65,498,486,"Columbine Ranch Fen",135,2694,"fossil",1961,5856,c(-107.81571, 37.60664)
10591,12.65,498,486,"Columbine Ranch Fen",140,2694,"fossil",1961,6074,c(-107.81571, 37.60664)
11534,12.15,517,504,"Crane Lake",20,2590,"fossil",1989,1121,c(-112.148895, 36.52986)
