"sample.id","value","dataset.id","site.id","site.name","depth","elev","type","pub_year","age","geometry"
3381,15.82,250,246,"Beef Pasture",0.5,3060,"fossil",1985,0,c(-108.160375, 37.473105)
3382,14.26,250,246,"Beef Pasture",2.5,3060,"fossil",1985,-3,c(-108.160375, 37.473105)
3383,16.78,250,246,"Beef Pasture",4,3060,"fossil",1985,9,c(-108.160375, 37.473105)
3384,14.76,250,246,"Beef Pasture",6,3060,"fossil",1985,24,c(-108.160375, 37.473105)
3385,14.95,250,246,"Beef Pasture",8.5,3060,"fossil",1985,43,c(-108.160375, 37.473105)
3386,14.37,250,246,"Beef Pasture",10.5,3060,"fossil",1985,61,c(-108.160375, 37.473105)
3387,14.5,250,246,"Beef Pasture",12.5,3060,"fossil",1985,89,c(-108.160375, 37.473105)
3388,15.3,250,246,"Beef Pasture",14.5,3060,"fossil",1985,116,c(-108.160375, 37.473105)
3389,13.25,250,246,"Beef Pasture",16.5,3060,"fossil",1985,145,c(-108.160375, 37.473105)
3390,14.61,250,246,"Beef Pasture",18,3060,"fossil",1985,166,c(-108.160375, 37.473105)
3391,14.37,250,246,"Beef Pasture",20,3060,"fossil",1985,194,c(-108.160375, 37.473105)
3393,14.77,250,246,"Beef Pasture",24,3060,"fossil",1985,254,c(-108.160375, 37.473105)
3394,13.84,250,246,"Beef Pasture",26,3060,"fossil",1985,284,c(-108.160375, 37.473105)
3395,14.45,250,246,"Beef Pasture",28,3060,"fossil",1985,314,c(-108.160375, 37.473105)
3396,14.45,250,246,"Beef Pasture",30,3060,"fossil",1985,343,c(-108.160375, 37.473105)
3397,14,250,246,"Beef Pasture",32,3060,"fossil",1985,373,c(-108.160375, 37.473105)
3398,14.34,250,246,"Beef Pasture",34,3060,"fossil",1985,404,c(-108.160375, 37.473105)
3399,13.96,250,246,"Beef Pasture",36,3060,"fossil",1985,433,c(-108.160375, 37.473105)
3400,13.25,250,246,"Beef Pasture",38,3060,"fossil",1985,462,c(-108.160375, 37.473105)
3401,14.45,250,246,"Beef Pasture",40,3060,"fossil",1985,491,c(-108.160375, 37.473105)
3402,13.88,250,246,"Beef Pasture",42,3060,"fossil",1985,521,c(-108.160375, 37.473105)
3403,14.63,250,246,"Beef Pasture",44,3060,"fossil",1985,550,c(-108.160375, 37.473105)
3404,14.45,250,246,"Beef Pasture",46,3060,"fossil",1985,580,c(-108.160375, 37.473105)
3405,14.46,250,246,"Beef Pasture",48,3060,"fossil",1985,609,c(-108.160375, 37.473105)
3406,14,250,246,"Beef Pasture",50,3060,"fossil",1985,638,c(-108.160375, 37.473105)
3407,13.78,250,246,"Beef Pasture",52,3060,"fossil",1985,666,c(-108.160375, 37.473105)
3408,14.61,250,246,"Beef Pasture",54,3060,"fossil",1985,695,c(-108.160375, 37.473105)
3409,13.52,250,246,"Beef Pasture",56,3060,"fossil",1985,721,c(-108.160375, 37.473105)
3410,13.25,250,246,"Beef Pasture",58,3060,"fossil",1985,744,c(-108.160375, 37.473105)
3411,13.42,250,246,"Beef Pasture",60,3060,"fossil",1985,767,c(-108.160375, 37.473105)
3412,12.8,250,246,"Beef Pasture",62.5,3060,"fossil",1985,796,c(-108.160375, 37.473105)
3414,13.25,250,246,"Beef Pasture",67.5,3060,"fossil",1985,855,c(-108.160375, 37.473105)
3415,13.78,250,246,"Beef Pasture",70,3060,"fossil",1985,885,c(-108.160375, 37.473105)
3416,18.09,250,246,"Beef Pasture",75,3060,"fossil",1985,947,c(-108.160375, 37.473105)
3417,13.31,250,246,"Beef Pasture",77.5,3060,"fossil",1985,977,c(-108.160375, 37.473105)
3419,13.28,250,246,"Beef Pasture",82.5,3060,"fossil",1985,1036,c(-108.160375, 37.473105)
3423,13.28,250,246,"Beef Pasture",92.5,3060,"fossil",1985,1154,c(-108.160375, 37.473105)
3424,13.33,250,246,"Beef Pasture",95,3060,"fossil",1985,1183,c(-108.160375, 37.473105)
3425,12.8,250,246,"Beef Pasture",97.5,3060,"fossil",1985,1211,c(-108.160375, 37.473105)
3426,13.28,250,246,"Beef Pasture",100,3060,"fossil",1985,1240,c(-108.160375, 37.473105)
3427,13.3,250,246,"Beef Pasture",102.5,3060,"fossil",1985,1270,c(-108.160375, 37.473105)
3428,14.46,250,246,"Beef Pasture",105,3060,"fossil",1985,1299,c(-108.160375, 37.473105)
3429,12.55,250,246,"Beef Pasture",107.5,3060,"fossil",1985,1329,c(-108.160375, 37.473105)
3430,13.3,250,246,"Beef Pasture",110,3060,"fossil",1985,1358,c(-108.160375, 37.473105)
3431,13.98,250,246,"Beef Pasture",112.5,3060,"fossil",1985,1387,c(-108.160375, 37.473105)
3432,13.96,250,246,"Beef Pasture",115,3060,"fossil",1985,1416,c(-108.160375, 37.473105)
3433,12.8,250,246,"Beef Pasture",117.5,3060,"fossil",1985,1445,c(-108.160375, 37.473105)
3434,13.41,250,246,"Beef Pasture",120,3060,"fossil",1985,1474,c(-108.160375, 37.473105)
3435,13.82,250,246,"Beef Pasture",125,3060,"fossil",1985,1537,c(-108.160375, 37.473105)
3436,13.41,250,246,"Beef Pasture",130,3060,"fossil",1985,1611,c(-108.160375, 37.473105)
3437,13.93,250,246,"Beef Pasture",135,3060,"fossil",1985,1687,c(-108.160375, 37.473105)
3438,12.37,250,246,"Beef Pasture",140,3060,"fossil",1985,1761,c(-108.160375, 37.473105)
3439,14.1,250,246,"Beef Pasture",145,3060,"fossil",1985,1837,c(-108.160375, 37.473105)
3440,13.41,250,246,"Beef Pasture",150,3060,"fossil",1985,1911,c(-108.160375, 37.473105)
3441,13.78,250,246,"Beef Pasture",155,3060,"fossil",1985,1986,c(-108.160375, 37.473105)
3442,14.57,250,246,"Beef Pasture",160,3060,"fossil",1985,2062,c(-108.160375, 37.473105)
