"Table 1.						",
"        Taxa used in analog analyses						",
"Scientific name	Common name	35	64	64S	135	",
"Abies	Fir	x	x	we	x	1",
"Acer negundo	Box Elder	a	a	a	x	1",
"Acer pennsylvanicum	Striped Maple	a	a	a	x	",
"Acer rubrum	Red Maple	a	a	a	x	",
"Acer saccharinum	Silver Maple	a	a	a	x	",
"Acer saccharum	Sugar Maple	a	a	a	x	",
"Acer undifferentiated	Maple undiff.	a	a	a	x	",
"ACERa	Maple	x	x	we		",
"Alnus crispa	Mountain Alder	a	a	a	x	1",
"Alnus rubra	Red Alder	a	x	x	x	1",
"Alnus rugosa	Speckled Alder	a	x	x	x	1",
"Alnus undifferentiated	Alder undiff.	a	a	a	x	",
"ALNUSXCb	Alder undiff.+Mountain Alder		x	we		",
"ALNUSc	Alder	x				",
"Ambrosia	Ragweed				x	",
"Amorpha	Leadplant				x	",
"Anacardiaceae	Sumac Family				x	",
"Apiaceae	Celery Family		a	a	x	",
"Aquifoliaceae	Holly Family		x	x	x	",
"Arceuthobium	Mistletoe		x	x	x	",
"Arecaceae	Palm Family				x	",
"Armeria	Thrift				x	",
"Artemisia	""Sagebrush"," Wormwood""	x	x	x	x	"
"Asteraceae undifferentiated	Daisy Family undiff.	a	a	a	x	",
"Asteraceae subf. Cichorioideae	Dandelion tribe	a	a	a	x	",
"ASTERACEAEd	Daisy Family	x	x	x		",
"Betula	Birch	x	x	x	x	",
"Boraginaceae	Borage Family				x	",
"Botrychium	Grape Fern (spore)				x	",
"Brassicaceae	Mustard Family		x	x	x	",
"Cactaceae	Cactus Family	x	x	x	x	",
"Campanulaceae	Bellflower Family				x	",
"Caprifoliaceae	Honeysuckle Family				x	",
"Carya	Hickory	x	x	x	x	",
"Caryophyllaceae	Chickweed Family		x	x	x	",
"Castanea	Chestnut	x	x	x	x	",
"Ceanothus	Ceanothus				x	",
"Celtis	Hackberry		x	we	x	",
"Cephalanthus	Buttonbush		x	x	x	",
"Cercocarpus	Mountain Mahogany				x	",
"Chamaedaphne/Ledum	Leatherleaf/Labrador Tea		a	a	x	",
"Chenopodiaceae/Amaranthaceae	Goosefoot/Pigweed Families	x	x	fc	x	",
"Chrysolepis/Lithocarpus	Chinquapin/Tanoak		x	x	x	",
"Cornus	Dogwood				x	",
"Corylus	Hazel	x	x	x	x	",
"Cupressaceae	Cedar Family	x	x	we	x	",
"Cyperaceae	Sedge Family	x	x	x	x	",
"Dodecatheon	Shooting Star				x	",
"Dryas	Mountain Avens		x	x	x	",
"Elaeagnaceae	Oleaster Family				x	",
"Ephedra	Jointfir	x	x	x	x	",
"Equisetum	Horsetail				x	",
"Ericaceae undifferentiated	Heath Family undiff.		a	a	x	",
"ERICACEAEe	Heath Family		x	x		",
"Ericales undifferentiated	Ericales Order undiff.				x	",
"Eriogonum	Buckwheat		a	a	x	",
"Euphorbiaceae	Spurge Family		a	a	x	",
"Fabaceae	Pea Family				x	",
"Fagus	Beech	x	x	x	x	",
"Fraxinus nigra	Black Ash	a	x	x	x	",
"Fraxinus pennsylvanica/americana	White/Green Ash	a	x	x	x	",
"Fraxinus undifferentiated	Ash undiff.	a	x	x	x	",
"FRAXINUSf	Ash	x		we		",
"Iva	Marsh Elder	a	x	x	x	",
"Juglans cinerea	Butternut	a	a	a	x	",
"Juglans nigra	Black Walnut	a	a	a	x	",
"Juglans undifferentiated	Walnut undiff.	a	a	a	x	",
"JUGLANSg	Walnut	x	x	x		",
"Koenigia islandica	Island Purslane				x	",
"Lamiaceae	Mint Family				x	",
"Larix/Pseudotsuga	Larch/Douglas Fir	x	x	we	x	",
"Larrea	Creosote Bush		x	x	x	",
"Liliaceae	Lily Family				x	",
"Liquidambar	Sweetgum	x	x	x	x	",
"Liriodendron	Tuliptree				x	",
"Lycopodium annotinum	Stiff club moss		a	a	x	",
