site.id,dataset.id,sample.id,age
1710,1766,35438,-0.011764706
1710,1766,35439,-2
1710,1766,35440,30
1710,1766,35441,112
1710,1766,35442,250
1710,1766,35443,381
1710,1766,35444,508
1710,1766,35445,646
1710,1766,35446,772
1710,1766,35447,909
1710,1766,35448,1050
1710,1766,35449,1234
1710,1766,35450,1437
1710,1766,35451,1559
1710,1766,35452,1706
1710,1766,35453,1861
1710,1766,35454,1965
1710,1766,35455,2087
1710,1766,35456,2388
1710,1766,35457,2610
1710,1766,35458,2841
1710,1766,35459,3074
1710,1766,35460,3351
1710,1766,35461,3629
1710,1766,35462,4000
1710,1766,35463,4243
1710,1766,35464,4487
1710,1766,35465,4741
1710,1766,35466,4996
1710,1766,35467,5374
1710,1766,35468,5776
1710,1766,35469,6025
1710,1766,35470,6269
1710,1766,35471,6517
1710,1766,35472,6671
1710,1766,35473,6902
1710,1766,35474,7106
1710,1766,35475,7386
1710,1766,35476,7700
1710,1766,35477,7880
1710,1766,35478,8060
1710,1766,35479,8252
1710,1766,35480,8443
1710,1766,35481,8723
1710,1766,35482,8851
1710,1766,35483,8876
1710,1766,35484,8926
1710,1766,35485,9084
1710,1766,35486,9263
1710,1766,35487,9441
1710,1766,35488,9593
1710,1766,35489,9772
1710,1766,35490,9950
1710,1766,35491,10103
1710,1766,35492,10283
1710,1766,35493,10461
1710,1766,35494,10610
1710,1766,35495,10790
1710,1766,35496,10965
1710,1766,35497,10994
1710,1766,35498,11229
1710,1766,35499,11471
1710,1766,35500,11788
1710,1766,35501,12188
1710,1766,35502,12349
1710,1766,35503,12430
1710,1766,35504,12511
1710,1766,35505,12593
1710,1766,35506,12675
1710,1766,35507,12838
