site.id,dataset.id,sample.id,age
246,250,264380,-0.01630094
246,250,264381,14
246,250,264382,45
246,250,264383,76
246,250,264384,106
246,250,264385,136
246,250,264386,165
246,250,264387,196
246,250,264388,227
246,250,264389,261
246,250,264390,294
246,250,264391,327
246,250,264392,361
246,250,264393,394
246,250,264394,425
246,250,264395,456
246,250,264396,485
246,250,264397,508
246,250,264398,531
246,250,264399,558
246,250,264400,585
246,250,264401,613
246,250,264402,641
246,250,264403,668
246,250,264404,694
246,250,264405,714
246,250,264406,733
246,250,264407,752
246,250,264408,772
246,250,264409,793
246,250,264410,816
246,250,264411,838
246,250,264412,861
246,250,264413,885
246,250,264414,912
246,250,264415,943
246,250,264416,973
246,250,264417,1004
246,250,264418,1035
246,250,264419,1072
246,250,264420,1115
246,250,264421,1158
246,250,264422,1201
246,250,264423,1246
246,250,264424,1288
246,250,264425,1325
246,250,264426,1362
246,250,264427,1400
246,250,264428,1438
246,250,264429,1473
246,250,264430,1505
246,250,264431,1536
246,250,264432,1568
246,250,264433,1600
246,250,264434,1628
246,250,264435,1652
246,250,264436,1675
246,250,264437,1699
246,250,264438,1723
246,250,264439,1747
246,250,264440,1772
246,250,264441,1797
246,250,264442,1823
246,250,264443,1848
246,250,264444,1873
246,250,264445,1897
246,250,264446,1921
246,250,264447,1944
246,250,264448,1968
246,250,264449,1996
246,250,264450,2032
246,250,264451,2067
