site.id,dataset.id,sample.id,age
2955,3054,57918,-0.010981469
2955,3054,57919,1
2955,3054,57920,58
2955,3054,57921,108
2955,3054,57922,691
2955,3054,57923,1561
2955,3054,57924,2286
2955,3054,57925,3015
2955,3054,57926,3501
2955,3054,57927,3672
2955,3054,57928,3912
2955,3054,57929,4074
2955,3054,57930,4236
2955,3054,57931,4461
2955,3054,57932,4676
2955,3054,57933,4804
2955,3054,57934,4931
2955,3054,57935,5112
2955,3054,57936,5285
2955,3054,57937,5441
2955,3054,57938,5648
2955,3054,57939,5800
2955,3054,57940,6307
2955,3054,57941,6815
2955,3054,57942,7323
2955,3054,57943,7835
2955,3054,57944,8341
2955,3054,57945,8774
2955,3054,57946,9190
2955,3054,57947,10435
2955,3054,57948,12091
2955,3054,57949,14050
