site.id,dataset.id,sample.id,age
2957,3056,58051,-0.011434511
2957,3056,58052,774
2957,3056,58053,1640
2957,3056,58054,2477
2957,3056,58055,3314
2957,3056,58056,4150
2957,3056,58057,4948
2957,3056,58058,5369
2957,3056,58059,5763
2957,3056,58060,6153
2957,3056,58061,6549
2957,3056,58062,6943
2957,3056,58063,7339
2957,3056,58064,7725
2957,3056,58065,8125
2957,3056,58066,8510
2957,3056,58067,8797
2957,3056,58068,9055
2957,3056,58069,9316
2957,3056,58070,9578
2957,3056,58071,9834
2957,3056,58072,10118
2957,3056,58073,10621
2957,3056,58074,11139
2957,3056,58075,11638
2957,3056,58076,12152
2957,3056,58077,12641
2957,3056,58078,13126
2957,3056,58079,13615
2957,3056,58080,14109
2957,3056,58081,14606
