site.id,dataset.id,sample.id,age
504,517,11533,-0.010869565
504,517,11534,1121
504,517,11535,2299
504,517,11536,3312
504,517,11537,4025
504,517,11538,4762
504,517,11539,5327
504,517,11540,5873
504,517,11541,6446
504,517,11542,6997
504,517,11543,7557
504,517,11544,8117
504,517,11545,8676
504,517,11546,9231
504,517,11547,9786
504,517,11548,10345
504,517,11549,10904
504,517,11550,11464
504,517,11551,12021
504,517,11552,12589
504,517,11553,13136
504,517,11554,13717
504,517,11555,14024
