"Site Name","Site ID","Dataset ID","Anomaly (°C)","Anomaly Bootstrapped (°C)","Mean boostrap RMSEP (°C)","Mean boostrap s1"
"Alpine Pond",9814,14517,4.55,4.73,2.93,0.9
"Alpine Pond",9814,14547,0.74,0.63,2.93,0.59
"Bear Lake",10000,14951,9.59,7.61,3.22,2.3
"Beef Pasture",246,250,11.77,10.93,4.66,2.28
"Beef Pasture",246,25551,4.41,3.92,2.86,1.62
"Cascade Fen [Engineer Mountain Bog]",339,347,4.86,4.5,3.09,1.09
"Chihuahueños Bog",13680,20833,7.15,6.68,3.06,1.88
"Columbine Ranch Fen",486,498,3.86,3.4,2.87,1.41
"Como Lake",2957,3056,7.95,6.44,2.95,1.78
"Crane Lake",504,517,5,2.63,2.81,1.84
"Cumbres Bog",11617,17419,10.65,9.51,2.92,1.23
"Hay Lake",982,1013,3.11,2.53,2.28,0.74
"Head Lake",2955,3054,3.86,2.35,2.83,1.67
"Hermit Lake",23930,41580,6.41,6.5,2.86,1.29
"Hospital Flat Meadow",26738,46801,1.38,1.53,2.28,0.54
"Hunters Lake",13486,20304,7.05,6.98,3.19,1.98
"Jacob Lake",1127,1162,3.7,3.44,2.29,0.75
"Leonora Curtin",14632,22948,4.14,3.3,2.75,1.48
"Lowder Creek Bog",9830,14549,1.95,1.02,2.46,1.05
"Molas Lake",1705,1761,5.29,4.61,2.55,0.98
"Molas Pass Bog",1706,1762,2.11,1.64,2.93,1.81
"Montezuma Well",1710,1766,3.35,2.82,2.79,1.32
"Posy Lake",1905,1970,3.15,1.89,2.49,1.09
"Potato Lake",1906,3560,3.18,2.95,2.95,1.47
"Potato Lake",1906,3561,2.52,1.71,2.83,1.11
"Purple Lake",13683,20838,2.38,1.53,2.49,0.62
"San Luis Lake",9878,14650,5.66,4.96,2.9,1.84
"Stewart Bog",10191,15356,9.6,9.84,4.18,1.26
"Stoneman Lake",10449,15967,8.83,7.33,2.9,1.64
"Twin Lakes",2785,2880,9.09,9.69,3.09,1.25
"Fracas Lake",9997,14944,NA,NA,NA,NA
"San Agustin Plains",2260,3612,NA,NA,NA,NA
